id,user_id,branch_id,access_level,created_at,created_by
c8a0a656-f3a4-4a7b-ba92-c978eca530e7,4d309b81-cf68-4547-be1c-aef517550e98,5c111ac7-32d9-4177-bb34-d02a24f5aac2,full,2025-12-03 17:47:23.961231+03,
76eae569-03cd-4192-b8cc-41d5baf194a3,70b06d6a-57a9-4b2f-99bf-30286fe8aa00,5c111ac7-32d9-4177-bb34-d02a24f5aac2,full,2025-12-03 17:47:38.803444+03,
05c21f03-a858-4ba4-ae28-b6b13d4a65a7,3eafe930-5c7d-4d7f-8370-e6eb28e02ec4,5c111ac7-32d9-4177-bb34-d02a24f5aac2,full,2025-12-03 17:58:02.721845+03,admin
